"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"54326","Mediterranean","November 23, 2020","2020","Nov","1","","1","13","","1","","Presumed drowning","Body found on beach in northwestern Rhodes, Greece","Reuters, Associated Press","36.465524782991, 28.231215810156","Eastern Mediterranean","https://archive.ph/537Jn, https://archive.ph/VkMx5","Uncategorized","3"
"54468","US-Mexico Border","November 23, 2020","2020","Nov","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-112.553166400000, 32.061618000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54484","Mediterranean","November 23, 2020","2020","Nov","4","9","13","","","13","","Presumed drowning","Unspecified location off coast of Algeria - departure on 23.11 from Boudouaou-El-Bahri, Boumerdès Province, Algeria - Bodies washed ashore on Algerian coasts in upcoming days.","Echorouk Online, Héroes del Mar, Boumerdes News, El Khabar, Hara FB page","36.803523592789, 3.417572756836","Western Mediterranean","https://archive.vn/O108Y, https://archive.vn/QdIJK, https://archive.vn/Ld8py, https://archive.vn/C4vvY, https://archive.vn/TYRTZ","Uncategorized","4"
"54478","North Africa","November 22, 2020","2020","Nov","4","","4","20","","3","","Presumed drowning","Wooden boat departed on 22 Nov from Chika, Dakhla, Morocco en route to Canary Islands before shortly capsizing","Rue 20, Alam Press, Anfas Press, Ichraka News, Marrakech Alaan","27.868362758428, -13.033909091834","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/XmhgW, https://archive.vn/nqOyh, https://archive.vn/h3gd5, https://archive.vn/cYqYf, https://archive.vn/iCWTH","Uncategorized","3"
"54467","US-Mexico Border","November 21, 2020","2020","Nov","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-112.915126000000, 32.327874000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54479","North Africa","November 21, 2020","2020","Nov","3","","3","","","3","","Presumed drowning","Bodies washed on the shore of Labouirda south of Dakhla. Officials assume it's from a shipwreck en route to Canary Islands","Dakhla News, Cap 24, Al Bahr News","27.975058244015, -12.590332031250","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/zWFa0, https://archive.vn/pLfce, https://archive.vn/nnb6u","Uncategorized","3"
"54327","US-Mexico Border","November 21, 2020","2020","Nov","1","","1","","1","","1","Presumed drowning","Remains found buried close to the Rio Bravo at Guerrero, Coahuila, Mexico - presumed date of death 6 months before","Zócalo","28.350894379517, -100.321731086330","","https://archive.vn/wQPtX, https://archive.vn/hcHsO","Central America","1"
"54462","US-Mexico Border","November 19, 2020","2020","Nov","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-113.054995000000, 32.247309000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
"54534","Mediterranean","November 19, 2020","2020","Nov","19","31","50","","","","","Presumed drowning","Unspecified location. Embarked on 19.11 from Garabulli, Libya and disappeared without a trace. Remains washed ashore at Al Khums, Misrata ans Zliten in the following days","IOM Libya, IOM Italy, Alarm Phone","32.993405361667, 13.984458748047","Central Mediterranean","https://archive.vn/OCTVY","Uncategorized","4"
"54694","North Africa","November 19, 2020","2020","Nov","1","","1","9","","1","","Unknown (presumed dehydration, hypothermia)","Rescued by merchant vessel Wadowice II north of Gran Canaria, Canary Islands, Spain - remains disembarked in Las Palmas de Gran Canaria","Europa Press","28.366331869042, -15.559796919141","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/qzpVe","Uncategorized","1"
"54466","US-Mexico Border","November 19, 2020","2020","Nov","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","-113.092922000000, 32.301813000000","","https://humaneborders.info/app/mapa.asp","Northern America","5"
